Remark,sku,post_title,post_status,comment_status,regular_price,stock_status,tax:product_type,tax:product_cat
,B28412GW18SA001,Saphhire Diamond bracelet in 18k white gold,draft,closed,5000,instock,simple,Bracelets
,B28415GW18SA001,Saphhire Diamond bracelet in 18k white gold,draft,closed,5000,instock,simple,Bracelets
,B28458GC18DD001,Diamond bracelet in two-tone 18k gold,draft,closed,5000,instock,simple,Bracelets
,B28459GA18DD001,Diamond bracelet in two-tone 18k gold,draft,closed,5000,instock,simple,Bracelets
,B28460GW18DD001,Diamond bracelet in 18k white gold,draft,closed,5000,instock,simple,Bracelets
,B33965GW18DD001,Diamond bracelet in 18k white gold,draft,closed,5000,instock,simple,Bracelets
,B34688KY18DD001,Diamond bracelet in 18k yellow gold,draft,closed,5000,instock,simple,Bracelets
,B40271GW18DD001,Diamond bracelet in 18k white gold,draft,closed,5000,instock,simple,Bracelets
,E28353KP18SR001,Sapphire earrings in 18k rose gold,draft,closed,5000,instock,simple,Earrings
,E28354GW18SR001,Sapphire earrings in 18k white gold,draft,closed,5000,instock,simple,Earrings
,E28400GC18DD001,Diamond earrings in two-tone 18k gold,draft,closed,5000,instock,simple,Earrings
,E28401GW18DD001,Diamond earrings in 18k white gold,draft,closed,5000,instock,simple,Earrings
,E28409KP18QP001,Pink quartz diamond earrings in 18k rose gold,draft,closed,5000,instock,simple,Earrings
,E28410GW18AB001,Black agate diamond earrings in 18k white gold,draft,closed,5000,instock,simple,Earrings
,E28411GW18V01001,Twist Enamel diamond earrings in 18k white gold,draft,closed,5000,instock,simple,Earrings
,E28412GW18SA001,Sapphire diamond earrings in 18k white gold,draft,closed,5000,instock,simple,Earrings
,E28413GC18SP001,Sapphire diamond earrings in two-tone 18k gold,draft,closed,5000,instock,simple,Earrings
,E28414GA18SY001,Yellow sapphire diamond earrigns in two-tone 18k gold,draft,closed,5000,instock,simple,Earrings
,E28415GW18SA001,Sapphire diamond earrings in 18k white gold,draft,closed,5000,instock,simple,Earrings
,E28416GW18SA001,Sapphire diamond earrings in 18k white gold,draft,closed,5000,instock,simple,Earrings
,E28417GA18SY001,Yellow sapphire diamond earrigns in two-tone 18k gold,draft,closed,5000,instock,simple,Earrings
,E28418KP18RB001,Ruby diamond earrings in 18k rose gold,draft,closed,5000,instock,simple,Earrings
,E28419KP18SP001,Sapphire diamond earrings in 18k rose gold,draft,closed,5000,instock,simple,Earrings
,E28420GW18DD001,Diamond earrings in 18k white gold,draft,closed,5000,instock,simple,Earrings
,E28421KY18DD001,Diamond earrings in 18k yellow gold,draft,closed,5000,instock,,Earrings
,E28436GA18DD001,Diamond earrings in two-tone 18k gold,draft,closed,5000,instock,,Earrings
,E28449GW18DD001,Diamond earrings in 18k white gold,draft,closed,5000,instock,simple,Earrings
,E28450KY18DD001,Diamond earrings in 18k yellow gold,draft,closed,5000,instock,,Earrings
,E28452KY18DD001,Diamond earrings in 18k yellow gold,draft,closed,5000,instock,,Earrings
,E28453GW18AB001,Black agate diamond earrings in 18k white gold,draft,closed,5000,instock,,Earrings
,E28458GC18DD001,Diamond earrings in two-tone 18k gold,draft,closed,5000,instock,,Earrings
,E28459GA18DD001,Diamond earrings in two-tone 18k gold,draft,closed,5000,instock,,Earrings
,E28460GW18DD001,Diamond earrings in 18k white gold,draft,closed,5000,instock,,Earrings
,E28461GW18DD001,Diamond earrings in 18k white gold,draft,closed,5000,instock,,Earrings
,E28462GW18DD001,Diamond earrings in 18k white gold,draft,closed,5000,instock,,Earrings
,E40264GW18DD001,Diamond earrings in 18k white gold,draft,closed,5000,instock,,Earrings
,E40268GW18DD001,Diamond earrings in 18k white gold,draft,closed,5000,instock,,Earrings
,N28412GW18SA001,Sapphire diamond necklace in 18k white gold,draft,closed,5000,instock,,Necklaces 
,N28413GC18SP001,Sapphire diamond necklace in two-tone 18k gold,draft,closed,5000,instock,,Necklaces 
,N28414GA18SY001,Yellow sapphire diamond necklace in two-tone 18k gold,draft,closed,5000,instock,,Necklaces 
,N28415GW18SA001,Sapphire diamond necklace in 18k white gold,draft,closed,5000,instock,,Necklaces 
,P28354GW18SR001,Purple sapphire diamond necklace in 18k white gold,draft,closed,5000,instock,simple,Necklaces 
,P28399GW18DD001,Diamond necklace in 18k white gold,draft,closed,5000,instock,,Necklaces 
,P28400GC18DD001,Diamond necklace in two-tone 18k gold,draft,closed,5000,instock,,Necklaces 
,P28401GW18DD001,Diamond necklace in 18k white gold,draft,closed,5000,instock,,Necklaces 
,P28409KP18QP001,Pink quartz diamond necklace in 18k rose gold,draft,closed,5000,instock,,Necklaces 
,P28410GW18AB001,Black agate diamond necklace in 18k white gold,draft,closed,5000,instock,,Necklaces 
,P28411GW18V01001,Enamel diamond necklace in 18k white gold,draft,closed,5000,instock,,Necklaces 
,P28416GW18SA001,Sapphire diamond necklace in 18k white gold,draft,closed,5000,instock,,Necklaces 
,P28417GA18SY001,Yellow sapphire diamond necklace in two-tone 18k gold,draft,closed,5000,instock,,Necklaces 
,P28418KP18RB001,Ruby diamond necklace in 18k rose gold,draft,closed,5000,instock,,Necklaces 
,P28419KP18SP001,Sapphire diamond necklace in 18k rose gold,draft,closed,5000,instock,,Necklaces 
,P28420GW18DD001,Diamond necklace in 18k white gold,draft,closed,5000,instock,,Necklaces 
,P28421KY18DD001,Diamond necklace in 18k yellow gold,draft,closed,5000,instock,,Necklaces 
,P28438GW18DD001,Diamond necklace in 18k white gold,draft,closed,5000,instock,,Necklaces 
,P28439KY18DD001,Diamond necklace in 18k yellow gold,draft,closed,5000,instock,,Necklaces 
,P28440GW18AB001,Black agate diamond necklace in 18k white gold,draft,closed,5000,instock,,Necklaces 
,P28440KP18MP001,Mother of pearl diamond necklace in 18k rose gold,draft,closed,5000,instock,,Necklaces 
,P28441GW18MW001,White mother of pearl diamond necklace in 18k white gold,draft,closed,5000,instock,,Necklaces 
,P28442KP18MP001,Mother of pearl diamond necklace in 18k rose gold,draft,closed,5000,instock,,Necklaces 
,P28449GW18DD001,Diamond necklace in 18k white gold,draft,closed,5000,instock,,Necklaces 
,P28450KY18DD001,Diamond necklace in 18k yellow gold,draft,closed,5000,instock,simple,Necklaces 
,P28451KP18DK001,Black diamond necklace in rose gold,draft,closed,5000,instock,,Necklaces 
,P28452KY18DD001,Diamond necklace in 18k yellow gold,draft,closed,5000,instock,,Necklaces 
,P28453GW18AB001,Black agate necklace in 18k white gold,draft,closed,5000,instock,,Necklaces 
,P28461GW18DD001,Diamond necklace in 18k white gold,draft,closed,5000,instock,simple,Necklaces 
,P28462GW18DD001,Diamond necklace in 18k white gold,draft,closed,5000,instock,,Necklaces 
,PA28453GW18AB001,Black agate necklace in 18k white gold,draft,closed,5000,instock,,Necklaces 
,PA34743GW18DD001,Diamond necklace in 18k white gold,draft,closed,5000,instock,simple,Necklaces 
,R28354GW18SR001,Sapphire diamond ring in 18k white gold,draft,closed,5000,instock,simple,Rings
,R28385GW18DD001,Diamond ring in 18k white gold,draft,closed,5000,instock,,Rings
,R28409KP18QP001,Pink quartz diamond ring in 18k rose gold,draft,closed,5000,instock,simple,Rings
,R28410GW18AB001,Black agate diamond ring in 18k white gold,draft,closed,5000,instock,,Rings
,R28411GW18V01001,Enamel diamond ring in 18k white gold,draft,closed,5000,instock,,Rings
,R28412GW18SA001,Sapphire diamond ring in 18k white gold,draft,closed,5000,instock,,Rings
,R28413GC18SP001,Sapphire diamond ring in two-tone 18k gold,draft,closed,5000,instock,,Rings
,R28414GA18SY001,Yellow sapphire diamond ring in two-tone 18k gold,draft,closed,5000,instock,,Rings
,R28415GW18SA001,Sapphire diamond ring in 18k white gold,draft,closed,5000,instock,,Rings
,R28416GW18SA001,Sapphire diamond ring in 18k white gold,draft,closed,5000,instock,,Rings
,R28417GA18SY001,Yellow sapphire diamond ring in two-tone 18k gold,draft,closed,5000,instock,,Rings
,R28418KP18RB001,Ruby diamond ring in 18k rose gold,draft,closed,5000,instock,,Rings
,R28419KP18SP001,Sapphire diamond ring in 18k rose gold,draft,closed,5000,instock,,Rings
,R28436GA18DD001,Diamond ring in two-tone 18k gold,draft,closed,5000,instock,,Rings
,R28437KP18DD001,Diamond ring in 18k rose gold,draft,closed,5000,instock,simple,Rings
,R28449GW18DD001,Diamond ring in 18k white gold,draft,closed,5000,instock,,Rings
,R28452KY18DD001,Diamond ring in 18k yellow gold,draft,closed,5000,instock,,Rings
