sku,post_title,post_excerpt,post_content,post_status,regular_price,sale_price,stock_status,stock,manage_stock,weight,Images,tax:product_type,tax:product_cat,tax:product_tag
R10573,Diamond Ring in 18K White Gold,,,draft,500,,instock,,no,,,variable,Classic Engagement Rings,Classic bridal
R10588,Diamond Ring in 19K White Gold,,,draft,500,,instock,,no,,,variable,Classic Engagement Rings,Classic bridal
R10594,Diamond Ring in 20K White Gold,,,draft,500,,instock,,no,,,variable,Classic Engagement Rings,Classic bridal
R10595,Diamond Ring in 21K White Gold,,,draft,500,,instock,,no,,,variable,Classic Engagement Rings,Classic bridal
R10600,Diamond Ring in 22K White Gold,,,draft,500,,instock,,no,,,variable,Classic Engagement Rings,Classic bridal
R10602,Diamond Ring in 23K White Gold,,,draft,500,,instock,,no,,,variable,Classic Engagement Rings,Classic bridal
R10935,Diamond Ring in 24K White Gold,,,draft,500,,instock,,no,,,variable,Classic Engagement Rings,Classic bridal
R11146,Diamond Ring in 25K White Gold,,,draft,500,,instock,,no,,,variable,Classic Engagement Rings,Classic bridal
R20354,Diamond Ring in 26K White Gold,,,draft,500,,instock,,no,,,variable,Classic Engagement Rings,Classic bridal
R21292,Diamond Ring in 27K White Gold,,,draft,500,,instock,,no,,,variable,Classic Engagement Rings,Classic bridal
R21294,Diamond Ring in 28K White Gold,,,draft,500,,instock,,no,,,variable,Classic Engagement Rings,Classic bridal
R23240,Diamond Ring in 29K White Gold,,,draft,500,,instock,,no,,,variable,Classic Engagement Rings,Classic bridal
R23673,Diamond Ring in 30K White Gold,,,draft,500,,instock,,no,,,variable,Classic Engagement Rings,Classic bridal
R24277,Diamond Ring in 31K White Gold,,,draft,500,,instock,,no,,,variable,Classic Engagement Rings,Classic bridal
R24279,Diamond Ring in 32K White Gold,,,draft,500,,instock,,no,,,variable,Classic Engagement Rings,Classic bridal
R24281,Diamond Ring in 33K White Gold,,,draft,500,,instock,,no,,,variable,Classic Engagement Rings,Classic bridal
R24283,Diamond Ring in 34K White Gold,,,draft,500,,instock,,no,,,variable,Classic Engagement Rings,Classic bridal
R24285,Diamond Ring in 35K White Gold,,,draft,500,,instock,,no,,,variable,Classic Engagement Rings,Classic bridal
R24286,Diamond Ring in 36K White Gold,,,draft,500,,instock,,no,,,variable,Classic Engagement Rings,Classic bridal
R2616,Diamond Ring in 37K White Gold,,,draft,500,,instock,,no,,,variable,Classic Engagement Rings,Classic bridal
R26167,Diamond Ring in 38K White Gold,,,draft,500,,instock,,no,,,variable,Classic Engagement Rings,Classic bridal
R27964,Diamond Ring in 39K White Gold,,,draft,500,,instock,,no,,,variable,Classic Engagement Rings,Classic bridal
